source_id,path,kelas,label,subjenis,source_set,sha256,file_size_bytes,readable,width,height,extension,group_id
aefd54b84960,dataset_batik/batik/Batik Sekar Jagad/0.jpg,batik,1,Batik Sekar Jagad,development,89247e3323ee2e517424c17055a0f33a9020e5676b25145fe75023970de7ba70,42871,True,224,224,.jpg,aefd54b84960
4cf5c0621088,dataset_batik/batik/Batik Sekar Jagad/1.jpg,batik,1,Batik Sekar Jagad,development,d387d17798dc87b73a7a25b8378a5ccce7107f4a1aae65a7807813b936449bf0,38889,True,224,224,.jpg,4cf5c0621088
cf833bbbc2d2,dataset_batik/batik/Batik Sekar Jagad/37.jpg,batik,1,Batik Sekar Jagad,development,ca5b9ba863f5a7f2846cd8159ec8bb490d401909ef600504dbe39b2adbd679c5,31413,True,224,224,.jpg,cf833bbbc2d2
4887f2b0b9db,dataset_batik/batik/Batik Sekar Jagad/38.jpg,batik,1,Batik Sekar Jagad,development,3c6bdb93201008b075dc82c1ffad07d7f33a79fc18d1596c714a70b727461484,44994,True,224,224,.jpg,4887f2b0b9db
e5f8bb3aa14e,dataset_batik/batik/Batik Sekar Jagad/54.jpg,batik,1,Batik Sekar Jagad,development,3c408802ff9b0156b53c49cb7af106db047abe3be29a04ffe2861061c453293f,36537,True,224,224,.jpg,e5f8bb3aa14e
54bfb8bd54ab,dataset_batik/batik/Solo_Parang/001.jpg,batik,1,Solo_Parang,development,2d234e3b70b4c5237689c3d70692a4d991be5b684fc18824c7fb5d1e19af71c3,18320,True,224,224,.jpg,54bfb8bd54ab
6442e19a4f03,dataset_batik/batik/Solo_Parang/0010.jpg,batik,1,Solo_Parang,development,09f40a491c2fdb2e538412762c1ec1c0e727d84574f81466ef2102f9dc606413,12940,True,224,224,.jpg,6442e19a4f03
32d738243497,dataset_batik/batik/Solo_Parang/0011.jpg,batik,1,Solo_Parang,development,049fa8860567b1437455a0f061ba9f33eba36b3a3ed6505c0a518053862e297b,18324,True,224,224,.jpg,32d738243497
de330aa7d1a2,dataset_batik/batik/Solo_Parang/0012.jpg,batik,1,Solo_Parang,development,05313fc961649f279800f900fe81a033424aaf0bd6a4a9130554229d137220f7,20817,True,224,224,.jpg,de330aa7d1a2
0f308677eb60,dataset_batik/batik/Solo_Parang/0013.jpg,batik,1,Solo_Parang,development,5cfab5a134c1882e55c61a1600e09dc4cdb297487427f77a93f1cf0040a5bc27,20256,True,224,224,.jpg,0f308677eb60
fa24684732b1,dataset_batik/batik/Solo_Parang/0014.jpg,batik,1,Solo_Parang,development,a46ce2c1ed3f320335e477a718aee24f6c388b05a60cf94f4f2ea186c0058f20,15436,True,224,224,.jpg,fa24684732b1
ae689bfb028c,dataset_batik/batik/Solo_Parang/0016.jpg,batik,1,Solo_Parang,development,bd814ee169904e8ebd175c2a70cefac7aa463c40483781ca724ab71de3d34af7,21033,True,224,224,.jpg,ae689bfb028c
ec9825accca7,dataset_batik/batik/Solo_Parang/0017.jpg,batik,1,Solo_Parang,development,54672014c50ab112903bae38b55103f167340111d280ee8d83aad21a32c6531d,18162,True,224,224,.jpg,grp_ec9825accca7
6ee03ea4ad8e,dataset_batik/batik/Solo_Parang/0020.jpg,batik,1,Solo_Parang,development,010aceeeebecadce0dfc7126904ec8152291021adbe62c71b8b5ab51f0ff128e,18147,True,224,224,.jpg,6ee03ea4ad8e
fc1e0904dd28,dataset_batik/batik/Solo_Parang/0021.jpg,batik,1,Solo_Parang,development,16c92df22481cca581878be122c0714de2a29c6a496def77503b4c6de9d912b5,18296,True,224,224,.jpg,grp_ec9825accca7
cc4ed19c721d,dataset_batik/batik/Solo_Parang/0022.jpg,batik,1,Solo_Parang,development,8b6a0f370f1ad121d1e9543788ca56d499ad49fc2ae79a3f000b753e1b9c08dd,16591,True,224,224,.jpg,cc4ed19c721d
9650ae0e9e81,dataset_batik/batik/Solo_Parang/0024.jpg,batik,1,Solo_Parang,development,f55d6ab2bbc57d48ef172738aa9c2c69a8f8d923bbc8adef2bc2cdb87a923255,20305,True,224,224,.jpg,9650ae0e9e81
418868e904b3,dataset_batik/batik/Solo_Parang/0025.jpg,batik,1,Solo_Parang,development,b903c030a2cc1e45e7ea295edf8b0dc788f397666127e5e610e0a7d14803f437,17056,True,224,224,.jpg,418868e904b3
232973849352,dataset_batik/batik/Solo_Parang/0027.jpg,batik,1,Solo_Parang,development,52cf09fd504374eb4273b0c71a9dd8f5d50e6dd770ee86d4f1712c0d50c60664,20128,True,224,224,.jpg,232973849352
9fb8bf36fd8b,dataset_batik/batik/Solo_Parang/0028.jpg,batik,1,Solo_Parang,development,3360828801f4f33261ec0fc4500086dcb3ad1e3cc90a945aa710ff8ad251e5ff,16758,True,224,224,.jpg,grp_204cc85f05f5
7df4d5dd4fc0,dataset_batik/batik/Solo_Parang/0029.jpg,batik,1,Solo_Parang,development,bf615a1995afb8bd0be79c63bc2ad79f1c0bbe280da4286c5eafffd6669bdd46,14500,True,224,224,.jpg,7df4d5dd4fc0
