sha256,path,source_set,kelas,cross_development_external,cross_class,group_size
110417799ce1c45cadcf039f9cb5a2334356fdaf34fa5cf85ed4d137f3764731,dataset_batik/non_batik/polkadot/polkadot2.jpg,development,non_batik,True,False,2
110417799ce1c45cadcf039f9cb5a2334356fdaf34fa5cf85ed4d137f3764731,uji_eksternal/non_batik/polkadot2.jpg,external,non_batik,True,False,2
16c92df22481cca581878be122c0714de2a29c6a496def77503b4c6de9d912b5,dataset_batik/batik/Solo_Parang/0021.jpg,development,batik,False,False,2
16c92df22481cca581878be122c0714de2a29c6a496def77503b4c6de9d912b5,dataset_batik/batik/Solo_Parang/005.jpg,development,batik,False,False,2
374f02410dfc820fa3b543e90c53ce2ca5369a2c6b3283738d57fc1db3291216,dataset_batik/non_batik/polkadot/polkadot3.jpg,development,non_batik,True,False,2
374f02410dfc820fa3b543e90c53ce2ca5369a2c6b3283738d57fc1db3291216,uji_eksternal/non_batik/polkadot3.jpg,external,non_batik,True,False,2
38e1d2ff083475f09057b95dd172bdc112e0948a1d4cc2cbd2e867452b01e0e5,dataset_batik/non_batik/polos/polos2.jpg,development,non_batik,True,False,2
38e1d2ff083475f09057b95dd172bdc112e0948a1d4cc2cbd2e867452b01e0e5,uji_eksternal/non_batik/polos2.jpg,external,non_batik,True,False,2
3b2064dde9fe2ec694a486a7e952d8707044639a6d9c14ddaec707ef2a9db372,dataset_batik/non_batik/polkadot/polkadot1.jpg,development,non_batik,True,False,2
3b2064dde9fe2ec694a486a7e952d8707044639a6d9c14ddaec707ef2a9db372,uji_eksternal/non_batik/polkadot1.jpg,external,non_batik,True,False,2
4aa7cc9f11756b076c3222b359b984a30ed769cfbe0242d70daa084f443f4055,dataset_batik/non_batik/polos/polos4.webp,development,non_batik,True,False,2
4aa7cc9f11756b076c3222b359b984a30ed769cfbe0242d70daa084f443f4055,uji_eksternal/non_batik/polos4.webp,external,non_batik,True,False,2
6ab74c920d68244c3bdf8e3a46a863f584844568f6e4ef4f929186aa928abebd,dataset_batik/non_batik/polos/polos3.webp,development,non_batik,True,False,2
6ab74c920d68244c3bdf8e3a46a863f584844568f6e4ef4f929186aa928abebd,uji_eksternal/non_batik/polos3.webp,external,non_batik,True,False,2
90ecb4d42c4ed6f9aeeb046444d28bc726cf1de5879a782dd90d54ac4417c773,dataset_batik/non_batik/polos/polos1.jpg,development,non_batik,True,False,2
90ecb4d42c4ed6f9aeeb046444d28bc726cf1de5879a782dd90d54ac4417c773,uji_eksternal/non_batik/polos1.jpg,external,non_batik,True,False,2
ace838bf7178f61a4fd80bd4fa40f2b319e9f3b6aaa53deb48699e45a73dd087,dataset_batik/non_batik/polos/polos5.jpg,development,non_batik,True,False,2
ace838bf7178f61a4fd80bd4fa40f2b319e9f3b6aaa53deb48699e45a73dd087,uji_eksternal/non_batik/polos5.jpg,external,non_batik,True,False,2
