source_id,path,kelas,label,subjenis,source_set,sha256,file_size_bytes,readable,width,height,extension
5e313c37e67c,uji_eksternal/batik/batik_betawi (1).jpg,batik,1,betawi,external,35a08c6078976928fc6bc88e0648a71c3644dc2b29106d455f2d2c07e878c813,46801,True,600,400,.jpg
039e17bfd050,uji_eksternal/batik/batik_betawi (2).jpg,batik,1,betawi,external,8d3f580b2ee8abda31dbc2ea99edce2b555e75558514df2d550662310f4be480,61012,True,678,452,.jpg
ff670d416aef,uji_eksternal/batik/batik_betawi (3).jpg,batik,1,betawi,external,7f72c77dcce1126197b3d6618653c51039684ec409e78e307a23eafe11c1307f,78763,True,626,313,.jpg
4e986ca1be95,uji_eksternal/batik/batik_betawi (4).jpg,batik,1,betawi,external,db3ba39b7c24d418a6464a42b5c53e8dca431265c0d4b1ebcf3d07d53adf5fef,826773,True,1280,1707,.jpg
f4bdf9026daa,uji_eksternal/batik/batik_betawi (5).jpg,batik,1,betawi,external,62cd849d23d8a78ac6f24af2d63891727d70f916d1e094f81e99f194a0e53b0f,301167,True,1280,960,.jpg
59951c6bc4f8,uji_eksternal/batik/batik_kalimantan_dayak (1).jpg,batik,1,kalimantan_dayak,external,593e1bd7f4451ef011b644bfdeaec7159d9d39b9f5d69d426c5f94d283e8e2c5,246104,True,1024,683,.jpg
ab70f9f67280,uji_eksternal/batik/batik_kalimantan_dayak (2).jpg,batik,1,kalimantan_dayak,external,67d7e23096ac9051a61d1bee15cf7aad56809ebf42f8d32ac241eda92c3006c2,78288,True,588,366,.jpg
2c2e68b53f79,uji_eksternal/batik/batik_kalimantan_dayak (3).jpg,batik,1,kalimantan_dayak,external,a94fce291a1b80c8e98af8cd7e0555ed10bfa10ab126ab0c6cc8ae81c24a38e2,39448,True,450,443,.jpg
ad545f1293fb,uji_eksternal/batik/batik_kalimantan_dayak (4).jpg,batik,1,kalimantan_dayak,external,8cd979fa1bb33a3148263e2f3ba68c45b53b691cbc4614fe9e958254276e5087,340074,True,1280,1280,.jpg
3efb393bd163,uji_eksternal/batik/batik_kalimantan_dayak (5).jpg,batik,1,kalimantan_dayak,external,69a4f14168039077bb65e32a535d7d552ecc5ccf13f9de200b73f37dd0b42291,482639,True,1024,768,.jpg
f5557f4df50d,uji_eksternal/batik/batik_kawung (2).jpg,batik,1,kawung,external,712fdb4e946ad017197956ad821f0e7468bb47a886e6a681fa0491981ebdb9a0,60068,True,447,447,.jpg
a5540334496f,uji_eksternal/batik/batik_kawung (4).jpg,batik,1,kawung,external,1b8445e8a50e1fe8339ae971797c73929c247590e81c22655107ab7a8f8ff8d8,893843,True,1280,1280,.jpg
502785cb65a6,uji_eksternal/batik/batik_kawung (5).jpg,batik,1,kawung,external,ad33b3c0229cb1ae9194b61957d46e91db0b01fee99da309419c18f2dcafecec,554229,True,1280,853,.jpg
89c37681bdce,uji_eksternal/batik/batik_kawung.jpg,batik,1,kawung,external,790ebc9c43cfa87e5172fa79c7ed6f751648680881d49315a6cf4dff29ed0bc6,1052877,True,1200,1200,.jpg
9ddb5031d344,uji_eksternal/batik/batik_kawung.png,batik,1,kawung,external,39124157b81b4b42ec9d24aa9263a822eb7bae6bd9331832039a976b8a4d7935,47688,True,554,554,.png
2d90ff3d23ac,uji_eksternal/batik/batik_megamendung (1).jpg,batik,1,megamendung,external,2babae1a1d97d626c24926bfa51f118982f535a745d10e0beb0e0cb4b401f1bd,76510,True,709,433,.jpg
683e695a74b3,uji_eksternal/batik/batik_megamendung (1).webp,batik,1,megamendung,external,729b512dc7cb69fda0b60dd282fdf14d1e9790c43982007931d63ae08098952f,24520,True,584,302,.webp
4d377f1d5852,uji_eksternal/batik/batik_megamendung (2).jpg,batik,1,megamendung,external,008b57ef129e0d38768d31899e4720609494d1a1b7703e7419a15019a4473db9,43266,True,578,435,.jpg
3c0cee524fa2,uji_eksternal/batik/batik_megamendung (4).jpg,batik,1,megamendung,external,6540061dd72a926685590d4286de0df2738237de1baa419ad0f9ea32c1e9b159,683702,True,1280,1716,.jpg
3e23d6307120,uji_eksternal/batik/batik_megamendung (5).jpg,batik,1,megamendung,external,d4d1d172a4b194e2e591967e134c2fc4bce8998510ff535af1d0ba4f8718b05b,103789,True,762,1100,.jpg
f84a7bc29c7a,uji_eksternal/batik/batik_parang (2).jpg,batik,1,parang,external,e049dedc923d36ddd2139ead8d2035c76c6adc60fe5ee1e6959686fd252cbebb,90141,True,480,640,.jpg
098b89a01667,uji_eksternal/batik/batik_parang (3).jpg,batik,1,parang,external,1da949fd3247baccbc9859c96231c8aabe68728da7952e0bd6e6989c9a1339d1,73308,True,387,516,.jpg
88b348474585,uji_eksternal/batik/batik_parang (4).jpg,batik,1,parang,external,d35aed7d9557f205bb3ad3c9b153ce6d395d2c7b0f39de5076792c6ed3ab8959,367002,True,1280,853,.jpg
d4f5114d7f29,uji_eksternal/batik/batik_parang (5).jpg,batik,1,parang,external,d7c180bc88fc2706331e6adae57a91496d8dcd9d7a848a9f2a990aac71305502,594161,True,1280,1262,.jpg
d9c7129b2e6d,uji_eksternal/batik/batik_parang.jpg,batik,1,parang,external,051819cc7f78a888750948feafea77ce5801b7f2a04854313a92912223bb1581,62597,True,554,554,.jpg
e0afadad4217,uji_eksternal/batik/batik_sogan (1).jpg,batik,1,sogan,external,ac830df3c97bd6259b897ace3436dca0d101e9273337e880c328d339e4363209,69005,True,500,429,.jpg
8de9e044b85d,uji_eksternal/batik/batik_sogan (2).jpg,batik,1,sogan,external,7bccaf0821496c49d3a6b745aecc7c3106b47f70db572d9af2179b0a392d48ab,75194,True,554,554,.jpg
7bbeb917afc1,uji_eksternal/batik/batik_sogan (3).jpg,batik,1,sogan,external,7a0a2b46d21ac81e892d6c1e640ee6a24bd2c9d069e927a447b944162b057fe4,64697,True,399,501,.jpg
2647481a9091,uji_eksternal/batik/batik_sogan (4).jpg,batik,1,sogan,external,fa0c681eab9a28b83886a6e73ad48906fae041be1a7c00073aee21182ecf210d,484148,True,1280,1028,.jpg
6f79eddb99bb,uji_eksternal/batik/batik_sogan (5).jpg,batik,1,sogan,external,ee12381551e87a903a23fcd929f0f0645ef7206456fc20511fb4155d0b8026ca,429852,True,1280,1033,.jpg
64e9d289ebb7,uji_eksternal/non_batik/flanel_kotak (1).jpg,non_batik,0,kotak,external,5075db8174746fb186d49fc3a1b96f141b2307df30bdeb33731bcf9201fb43f3,6396,True,225,225,.jpg
a2035c59c173,uji_eksternal/non_batik/flanel_kotak (2).jpg,non_batik,0,kotak,external,3594349bdd655fcdde8fdb2b6b4eff5ec8c89a5d70e5e148a0e6326206cbe27f,21941,True,364,549,.jpg
08877e0d0bd2,uji_eksternal/non_batik/flanel_kotak (3).jpg,non_batik,0,kotak,external,ddc1c54cd64bf4f78e897932c12d9eaee5af6ae9d5b04f423ab37d35c7e622b5,52318,True,554,554,.jpg
e52e0d23ca2d,uji_eksternal/non_batik/kain_bunga (1).jpg,non_batik,0,bunga,external,d890bc5d88b986ab183f7c9e0fc42fbf936b9e5df96b835f19529b57ac1fece4,76822,True,550,550,.jpg
