path,source_id,group_id,source_path,kelas,label,subjenis,partition,is_augmented,transform,motif_complexity_score,small_contour_count,glcm_entropy,glcm_homogeneity,lbp_entropy,fft_peak_ratio,model,predicted_label,predicted_class,score_batik,correct,error_type
uji_eksternal/batik/batik_betawi (3).jpg,ff670d416aef,ff670d416aef,uji_eksternal/batik/batik_betawi (3).jpg,batik,1,betawi,external,False,original,591.4722290039062,2548.0,7.611423025493711,0.3098136572546856,6.50097598511715,97.26029336657304,SVM (RBF),0,non_batik,0.3624741697478904,False,batik_menjadi_non_batik
uji_eksternal/batik/batik_betawi (4).jpg,4e986ca1be95,4e986ca1be95,uji_eksternal/batik/batik_betawi (4).jpg,batik,1,betawi,external,False,original,158.7110595703125,752.0,6.902224311060399,0.4588755986052824,6.899906951371891,11.08956481790371,SVM (RBF),0,non_batik,0.3285205085743742,False,batik_menjadi_non_batik
uji_eksternal/batik/batik_betawi (5).jpg,f4bdf9026daa,f4bdf9026daa,uji_eksternal/batik/batik_betawi (5).jpg,batik,1,betawi,external,False,original,43.04008483886719,572.0,5.450339429041226,0.6517215591438473,6.5951920001338245,18.860051238597645,SVM (RBF),0,non_batik,0.4366249731571129,False,batik_menjadi_non_batik
uji_eksternal/batik/batik_kalimantan_dayak (3).jpg,2c2e68b53f79,2c2e68b53f79,uji_eksternal/batik/batik_kalimantan_dayak (3).jpg,batik,1,kalimantan_dayak,external,False,original,1.2681732177734375,124.0,4.332350008064509,0.7009422903654007,5.28979783977494,45.5542353360757,SVM (RBF),0,non_batik,0.2015242149138965,False,batik_menjadi_non_batik
uji_eksternal/batik/batik_kawung (2).jpg,f5557f4df50d,f5557f4df50d,uji_eksternal/batik/batik_kawung (2).jpg,batik,1,kawung,external,False,original,5.417881011962891,49.0,5.583480359492958,0.5627364287034397,6.728851777826096,160.3649926576704,SVM (RBF),0,non_batik,0.254188384130819,False,batik_menjadi_non_batik
uji_eksternal/batik/batik_kawung (5).jpg,502785cb65a6,502785cb65a6,uji_eksternal/batik/batik_kawung (5).jpg,batik,1,kawung,external,False,original,508.68505477905273,2041.0,7.703841811202958,0.3022567484817923,6.980558379136271,15.212018404058552,SVM (RBF),0,non_batik,0.483590640021829,False,batik_menjadi_non_batik
uji_eksternal/batik/batik_kawung.png,9ddb5031d344,9ddb5031d344,uji_eksternal/batik/batik_kawung.png,batik,1,kawung,external,False,original,2.213607788085937,36.0,2.942126877034202,0.8241592337133548,3.441016187369137,89.77922926635918,SVM (RBF),0,non_batik,0.2436774438397333,False,batik_menjadi_non_batik
uji_eksternal/batik/batik_megamendung (1).webp,683e695a74b3,683e695a74b3,uji_eksternal/batik/batik_megamendung (1).webp,batik,1,megamendung,external,False,original,14.343032836914062,185.0,5.454650832267685,0.6973160160948221,6.277904555937079,43.800315320603424,SVM (RBF),0,non_batik,0.3257279308568818,False,batik_menjadi_non_batik
uji_eksternal/batik/batik_megamendung (2).jpg,4d377f1d5852,4d377f1d5852,uji_eksternal/batik/batik_megamendung (2).jpg,batik,1,megamendung,external,False,original,22.561073303222656,250.0,6.076070849134361,0.635137934175026,6.674075830061225,51.66407881243451,SVM (RBF),0,non_batik,0.2906088853928011,False,batik_menjadi_non_batik
uji_eksternal/batik/batik_megamendung (4).jpg,3c0cee524fa2,3c0cee524fa2,uji_eksternal/batik/batik_megamendung (4).jpg,batik,1,megamendung,external,False,original,90.015380859375,639.0,7.0837333925438575,0.443098058946392,6.815038667425162,18.534496197461426,SVM (RBF),0,non_batik,0.4333838870375111,False,batik_menjadi_non_batik
