path,source_id,kelas_aktual,kelas_prediksi,score_batik,confidence,correct,visualization_file
uji_eksternal/batik/batik_betawi (1).jpg,5e313c37e67c,batik,batik,0.5733226645349697,0.5733226645349697,True,batik__betawi__5e313c37e67c.png
uji_eksternal/batik/batik_betawi (2).jpg,039e17bfd050,batik,batik,0.7041729033436774,0.7041729033436774,True,batik__betawi__039e17bfd050.png
uji_eksternal/batik/batik_betawi (3).jpg,ff670d416aef,batik,non_batik,0.3624741697478904,0.6375258302521096,False,batik__betawi__ff670d416aef.png
uji_eksternal/batik/batik_betawi (4).jpg,4e986ca1be95,batik,non_batik,0.32852050857437426,0.6714794914256257,False,batik__betawi__4e986ca1be95.png
uji_eksternal/batik/batik_betawi (5).jpg,f4bdf9026daa,batik,non_batik,0.4366249731571129,0.5633750268428871,False,batik__betawi__f4bdf9026daa.png
uji_eksternal/batik/batik_kalimantan_dayak (1).jpg,59951c6bc4f8,batik,batik,0.6887582566817276,0.6887582566817276,True,batik__kalimantan_dayak__59951c6bc4f8.png
uji_eksternal/batik/batik_kalimantan_dayak (2).jpg,ab70f9f67280,batik,batik,0.7174627667684512,0.7174627667684512,True,batik__kalimantan_dayak__ab70f9f67280.png
uji_eksternal/batik/batik_kalimantan_dayak (3).jpg,2c2e68b53f79,batik,non_batik,0.20152421491389658,0.7984757850861034,False,batik__kalimantan_dayak__2c2e68b53f79.png
uji_eksternal/batik/batik_kalimantan_dayak (4).jpg,ad545f1293fb,batik,batik,0.5686477266706922,0.5686477266706922,True,batik__kalimantan_dayak__ad545f1293fb.png
uji_eksternal/batik/batik_kalimantan_dayak (5).jpg,3efb393bd163,batik,batik,0.5870309540376252,0.5870309540376252,True,batik__kalimantan_dayak__3efb393bd163.png
uji_eksternal/batik/batik_kawung (2).jpg,f5557f4df50d,batik,non_batik,0.254188384130819,0.745811615869181,False,batik__kawung__f5557f4df50d.png
uji_eksternal/batik/batik_kawung (4).jpg,a5540334496f,batik,batik,0.7329432767430717,0.7329432767430717,True,batik__kawung__a5540334496f.png
uji_eksternal/batik/batik_kawung (5).jpg,502785cb65a6,batik,non_batik,0.483590640021829,0.516409359978171,False,batik__kawung__502785cb65a6.png
uji_eksternal/batik/batik_kawung.jpg,89c37681bdce,batik,batik,0.5147703381931563,0.5147703381931563,True,batik__kawung__89c37681bdce.png
uji_eksternal/batik/batik_kawung.png,9ddb5031d344,batik,non_batik,0.2436774438397333,0.7563225561602667,False,batik__kawung__9ddb5031d344.png
uji_eksternal/batik/batik_megamendung (1).jpg,2d90ff3d23ac,batik,batik,0.8210995806217688,0.8210995806217688,True,batik__megamendung__2d90ff3d23ac.png
uji_eksternal/batik/batik_megamendung (1).webp,683e695a74b3,batik,non_batik,0.3257279308568818,0.6742720691431182,False,batik__megamendung__683e695a74b3.png
uji_eksternal/batik/batik_megamendung (2).jpg,4d377f1d5852,batik,non_batik,0.29060888539280116,0.7093911146071988,False,batik__megamendung__4d377f1d5852.png
uji_eksternal/batik/batik_megamendung (4).jpg,3c0cee524fa2,batik,non_batik,0.4333838870375111,0.5666161129624889,False,batik__megamendung__3c0cee524fa2.png
uji_eksternal/batik/batik_megamendung (5).jpg,3e23d6307120,batik,non_batik,0.4490689820296522,0.5509310179703478,False,batik__megamendung__3e23d6307120.png
uji_eksternal/batik/batik_parang (2).jpg,f84a7bc29c7a,batik,batik,0.5638099066753616,0.5638099066753616,True,batik__parang__f84a7bc29c7a.png
