repeat,source_id,outer_fold
1,aefd54b84960,1
1,cf833bbbc2d2,1
1,4887f2b0b9db,1
1,0f308677eb60,1
1,232973849352,1
1,ef0f096eef7d,1
1,1ebf8c8980d8,1
1,5dc0a5b5e0e3,1
1,8044eaaa01ee,1
1,339148643a6c,1
1,8be73861e239,1
1,c8389f7774ca,1
1,be07729e8e4c,1
1,94870fc592ab,1
1,861b084216ea,1
1,ba741b615b90,1
1,7cb908544ba8,1
1,c23c92dfb3a6,1
1,2a2a23410a51,1
1,cd0513428af6,1
1,a3833f8e9773,1
1,7556e7595482,1
1,05ccbfc92105,1
1,a24266798391,1
1,aa85c99944f2,1
1,cba62b260aa8,1
1,f11fc60776fe,1
1,ed293cabd087,1
1,7a26d7e18b89,1
1,21b7b85d4086,1
1,c9420c985ea9,1
1,c5761d229b6c,1
1,e7a78b6680b5,1
1,4b2cb2577a69,1
1,2147c3827a53,1
1,5f82b8c47ed9,1
1,1937342e6d3a,1
1,378df26e0ccb,1
1,d5ce7ee1e352,1
1,be63966ec5ec,1
1,ec9825accca7,2
1,fc1e0904dd28,2
1,cc4ed19c721d,2
1,9650ae0e9e81,2
1,6dc41f6c55a3,2
1,050046f947a6,2
1,e49dc5a7d4dd,2
1,17204d5eeb3c,2
1,72312efd43da,2
1,a291e5c48a49,2
1,35db741433f7,2
1,9cc5012e3077,2
1,7a6a08371391,2
1,973f90f1c799,2
1,8e278f004798,2
1,9c71e54f91f9,2
1,7a71ef3f3ade,2
1,cef09f780063,2
1,7bdd4895a8f4,2
1,e7708ac8cb87,2
1,519b6e1dfbd9,2
1,74dfb64fde15,2
1,f745452e50e3,2
1,1e1c6c73c84d,2
1,028b7571da11,2
1,9ca0fa064166,2
1,0fd5923aff43,2
1,bc0863dfd9c1,2
1,3d5238641255,2
1,9dd396e5e2cf,2
1,fc6da929304d,2
1,0ce96dcf1e27,2
1,33eb73d4c302,2
1,699c4602a8e0,2
1,ffeae644af12,2
1,51819fbbc26f,2
1,0b857a24ecf0,2
1,b2131a29e3e4,2
1,e6a8630feb76,2
1,dac06cb81326,2
1,4cf5c0621088,3
1,7df4d5dd4fc0,3
1,798dd241fbb7,3
1,3db0cabb6a47,3
1,37dc41276bd9,3
1,4ce26e238996,3
1,8eabcd2abffa,3
1,7fbd1b9fbaf8,3
1,4296840cb96e,3
1,494cc5d151c0,3
1,49e6fc0351e9,3
1,20802bdd836c,3
1,4378ec5c01d7,3
1,32d72ffa72f3,3
1,f74bb111b026,3
1,bd730be873eb,3
1,5f3323d49daf,3
1,bbdb13d788e1,3
1,eb2a2549a57f,3
1,cccca1ba3cae,3
1,64c221c7e69e,3
1,b9f0bcdd4ffc,3
1,3c68bb5f2327,3
1,9710a61c2b42,3
1,fb19d7075d8a,3
1,e9fea915240b,3
1,6900868add34,3
1,a234e5ca3e30,3
1,1c522c3d0bdc,3
1,3424f5620431,3
1,62ac50dcc85a,3
1,92deccab5470,3
1,d9276d559999,3
1,a7f92f18470f,3
1,3ca855a91edc,3
1,4bd0134802da,3
1,3c1f730579dc,3
1,6b6b7bdfe34a,3
1,3b5356f36723,3
1,c9fffdb4983d,3
1,d916f3c4756e,3
1,54bfb8bd54ab,4
1,de330aa7d1a2,4
1,fa24684732b1,4
1,6ee03ea4ad8e,4
1,418868e904b3,4
1,9fb8bf36fd8b,4
1,a10f0a7e53bd,4
1,204cc85f05f5,4
1,e9fd42eb86e9,4
1,0cda161b73d8,4
1,482d00c6689f,4
1,8bf4cb106e92,4
1,95f29eea7980,4
1,e29a2b8d50fa,4
1,c2b746a6af12,4
1,d508f4f2374c,4
1,dbb32ee71649,4
1,c8a756244bdd,4
1,5a0b830d2c1b,4
1,9c55efc8bc01,4
1,c54620730f2e,4
1,46224a6951cd,4
1,224b3baae42f,4
1,72cc088c4040,4
1,5417f1939333,4
1,a940ff920c6c,4
1,fd0c795decdf,4
1,24dcb9ff498b,4
1,f190f4ab82fd,4
1,c1afa12764cf,4
1,3d11a9f87152,4
1,648259d35596,4
1,5749ecfbcd39,4
1,bb5154fad02f,4
1,3f3ad4376dd0,4
1,6a5fca546dc0,4
1,27a1a686fc67,4
1,0ed496d9169c,4
1,3db82daf6e86,4
1,31a7bede42b0,4
1,e5f8bb3aa14e,5
1,6442e19a4f03,5
1,32d738243497,5
1,ae689bfb028c,5
1,a592c69656eb,5
1,68d05da78831,5
1,2a17bd6593bc,5
1,73e531fe1cee,5
1,8302690a77c5,5
1,1a750a1ff1bb,5
1,5fbb49767a26,5
1,56fa039f7fcf,5
1,8c566ec9c05a,5
1,4685b3b6f662,5
1,01423db2bf4d,5
1,975d095d1710,5
1,15c3a3af00f1,5
1,8cd33e274e4d,5
1,318560941f39,5
1,821b217c3490,5
1,1ae0673d1fc2,5
1,0f8e0b867151,5
1,71b47ddc1aef,5
1,0c9036a66a5e,5
1,bdad9f0a9e63,5
1,5bfe72414caf,5
1,e0dbc911eac7,5
1,eac540cba307,5
1,db4135d30eec,5
1,1f9fa02cb0e6,5
1,bbcc043171d4,5
1,c11183e9d1cd,5
1,f6b3418e39a1,5
1,41c663680f51,5
1,f88b483bd98e,5
1,9a27b470f78d,5
1,bcabfe0310f4,5
1,8050e3061ee9,5
1,ad3de2744108,5
1,372c786cc900,5
2,e5f8bb3aa14e,1
2,1ebf8c8980d8,1
2,8044eaaa01ee,1
2,482d00c6689f,1
2,73e531fe1cee,1
2,1a750a1ff1bb,1
2,e29a2b8d50fa,1
2,49e6fc0351e9,1
2,9cc5012e3077,1
2,f74bb111b026,1
2,d508f4f2374c,1
2,318560941f39,1
2,c54620730f2e,1
2,cd0513428af6,1
2,224b3baae42f,1
2,a3833f8e9773,1
2,cef09f780063,1
2,0f8e0b867151,1
2,5417f1939333,1
2,7bdd4895a8f4,1
2,05ccbfc92105,1
2,71b47ddc1aef,1
2,fd0c795decdf,1
2,fb19d7075d8a,1
2,aa85c99944f2,1
2,a234e5ca3e30,1
2,e0dbc911eac7,1
2,21b7b85d4086,1
2,3d5238641255,1
2,62ac50dcc85a,1
2,e7a78b6680b5,1
2,bbcc043171d4,1
2,c1afa12764cf,1
2,9dd396e5e2cf,1
2,bcabfe0310f4,1
2,3ca855a91edc,1
2,5f82b8c47ed9,1
2,378df26e0ccb,1
2,0ed496d9169c,1
2,c9fffdb4983d,1
2,54bfb8bd54ab,2
2,32d738243497,2
2,ec9825accca7,2
2,fc1e0904dd28,2
2,cc4ed19c721d,2
2,9650ae0e9e81,2
2,232973849352,2
2,798dd241fbb7,2
2,6dc41f6c55a3,2
2,a592c69656eb,2
2,e9fd42eb86e9,2
2,95f29eea7980,2
2,5fbb49767a26,2
2,20802bdd836c,2
2,4378ec5c01d7,2
2,4685b3b6f662,2
2,01423db2bf4d,2
2,7a6a08371391,2
2,821b217c3490,2
2,c23c92dfb3a6,2
2,bbdb13d788e1,2
2,8e278f004798,2
2,72cc088c4040,2
2,64c221c7e69e,2
2,a24266798391,2
2,519b6e1dfbd9,2
2,a940ff920c6c,2
2,1c522c3d0bdc,2
2,3424f5620431,2
2,f190f4ab82fd,2
2,92deccab5470,2
2,41c663680f51,2
2,648259d35596,2
2,bb5154fad02f,2
2,ad3de2744108,2
2,6a5fca546dc0,2
2,ffeae644af12,2
2,3b5356f36723,2
2,3db82daf6e86,2
2,372c786cc900,2
2,aefd54b84960,3
2,4cf5c0621088,3
2,fa24684732b1,3
2,a10f0a7e53bd,3
2,3db0cabb6a47,3
2,050046f947a6,3
2,4ce26e238996,3
2,8eabcd2abffa,3
2,ef0f096eef7d,3
2,68d05da78831,3
2,72312efd43da,3
2,339148643a6c,3
2,8be73861e239,3
2,861b084216ea,3
2,8c566ec9c05a,3
2,ba741b615b90,3
2,7cb908544ba8,3
2,dbb32ee71649,3
2,15c3a3af00f1,3
2,bd730be873eb,3
2,9c55efc8bc01,3
2,eb2a2549a57f,3
2,74dfb64fde15,3
2,e9fea915240b,3
2,6900868add34,3
2,24dcb9ff498b,3
2,f11fc60776fe,3
2,0fd5923aff43,3
2,eac540cba307,3
2,1f9fa02cb0e6,3
2,c5761d229b6c,3
2,4b2cb2577a69,3
2,d9276d559999,3
2,9a27b470f78d,3
2,8050e3061ee9,3
2,699c4602a8e0,3
2,4bd0134802da,3
2,51819fbbc26f,3
2,27a1a686fc67,3
2,0b857a24ecf0,3
2,e6a8630feb76,3
2,cf833bbbc2d2,4
2,4887f2b0b9db,4
2,6442e19a4f03,4
2,ae689bfb028c,4
2,6ee03ea4ad8e,4
2,9fb8bf36fd8b,4
2,7df4d5dd4fc0,4
2,204cc85f05f5,4
2,4296840cb96e,4
2,8bf4cb106e92,4
2,2a17bd6593bc,4
2,8302690a77c5,4
2,c8389f7774ca,4
2,56fa039f7fcf,4
2,94870fc592ab,4
2,32d72ffa72f3,4
2,c2b746a6af12,4
2,c8a756244bdd,4
2,8cd33e274e4d,4
2,5a0b830d2c1b,4
2,46224a6951cd,4
2,1ae0673d1fc2,4
2,9c71e54f91f9,4
2,e7708ac8cb87,4
2,3c68bb5f2327,4
2,9710a61c2b42,4
2,bdad9f0a9e63,4
2,cba62b260aa8,4
2,c9420c985ea9,4
2,c11183e9d1cd,4
2,fc6da929304d,4
2,0ce96dcf1e27,4
2,5749ecfbcd39,4
2,33eb73d4c302,4
2,a7f92f18470f,4
2,3f3ad4376dd0,4
2,d5ce7ee1e352,4
2,b2131a29e3e4,4
2,31a7bede42b0,4
2,dac06cb81326,4
2,de330aa7d1a2,5
2,0f308677eb60,5
2,418868e904b3,5
2,37dc41276bd9,5
2,7fbd1b9fbaf8,5
2,e49dc5a7d4dd,5
2,17204d5eeb3c,5
2,5dc0a5b5e0e3,5
2,0cda161b73d8,5
2,494cc5d151c0,5
2,a291e5c48a49,5
2,35db741433f7,5
2,be07729e8e4c,5
2,975d095d1710,5
2,5f3323d49daf,5
2,973f90f1c799,5
2,2a2a23410a51,5
2,cccca1ba3cae,5
2,7a71ef3f3ade,5
2,7556e7595482,5
2,b9f0bcdd4ffc,5
2,0c9036a66a5e,5
2,5bfe72414caf,5
2,f745452e50e3,5
2,1e1c6c73c84d,5
2,028b7571da11,5
2,9ca0fa064166,5
2,ed293cabd087,5
2,7a26d7e18b89,5
2,bc0863dfd9c1,5
2,db4135d30eec,5
2,f6b3418e39a1,5
2,2147c3827a53,5
2,f88b483bd98e,5
2,3d11a9f87152,5
2,3c1f730579dc,5
2,1937342e6d3a,5
2,6b6b7bdfe34a,5
2,d916f3c4756e,5
2,be63966ec5ec,5
3,32d738243497,1
3,ae689bfb028c,1
3,9650ae0e9e81,1
3,418868e904b3,1
3,37dc41276bd9,1
3,e9fd42eb86e9,1
3,4ce26e238996,1
3,e49dc5a7d4dd,1
3,8be73861e239,1
3,c8389f7774ca,1
3,56fa039f7fcf,1
3,4378ec5c01d7,1
3,8c566ec9c05a,1
3,dbb32ee71649,1
3,15c3a3af00f1,1
3,c23c92dfb3a6,1
3,5a0b830d2c1b,1
3,973f90f1c799,1
3,cd0513428af6,1
3,a3833f8e9773,1
3,72cc088c4040,1
3,0f8e0b867151,1
3,b9f0bcdd4ffc,1
3,3c68bb5f2327,1
3,519b6e1dfbd9,1
3,aa85c99944f2,1
3,24dcb9ff498b,1
3,f11fc60776fe,1
3,c9420c985ea9,1
3,2147c3827a53,1
3,f88b483bd98e,1
3,3d11a9f87152,1
3,bcabfe0310f4,1
3,648259d35596,1
3,8050e3061ee9,1
3,5749ecfbcd39,1
3,ad3de2744108,1
3,6a5fca546dc0,1
3,ffeae644af12,1
3,0b857a24ecf0,1
3,31a7bede42b0,1
3,aefd54b84960,2
3,4887f2b0b9db,2
3,54bfb8bd54ab,2
3,fa24684732b1,2
3,ec9825accca7,2
3,6ee03ea4ad8e,2
3,fc1e0904dd28,2
3,232973849352,2
3,17204d5eeb3c,2
3,0cda161b73d8,2
3,73e531fe1cee,2
3,95f29eea7980,2
3,8302690a77c5,2
3,1a750a1ff1bb,2
3,32d72ffa72f3,2
3,4685b3b6f662,2
3,c2b746a6af12,2
3,01423db2bf4d,2
3,975d095d1710,2
3,7a6a08371391,2
3,bd730be873eb,2
3,821b217c3490,2
3,8e278f004798,2
3,cccca1ba3cae,2
3,224b3baae42f,2
3,05ccbfc92105,2
3,e0dbc911eac7,2
3,1c522c3d0bdc,2
3,3424f5620431,2
3,ed293cabd087,2
3,bc0863dfd9c1,2
3,62ac50dcc85a,2
3,1f9fa02cb0e6,2
3,9dd396e5e2cf,2
3,3ca855a91edc,2
3,3c1f730579dc,2
3,51819fbbc26f,2
3,d5ce7ee1e352,2
3,b2131a29e3e4,2
3,be63966ec5ec,2
3,cc4ed19c721d,3
3,7df4d5dd4fc0,3
3,a10f0a7e53bd,3
3,798dd241fbb7,3
3,6dc41f6c55a3,3
3,7fbd1b9fbaf8,3
3,5dc0a5b5e0e3,3
3,5fbb49767a26,3
3,35db741433f7,3
3,9cc5012e3077,3
3,be07729e8e4c,3
3,ba741b615b90,3
3,bbdb13d788e1,3
3,eb2a2549a57f,3
3,9c71e54f91f9,3
3,cef09f780063,3
3,64c221c7e69e,3
3,7556e7595482,3
3,71b47ddc1aef,3
3,e7708ac8cb87,3
3,9710a61c2b42,3
3,fb19d7075d8a,3
3,5bfe72414caf,3
3,74dfb64fde15,3
3,cba62b260aa8,3
3,1e1c6c73c84d,3
3,9ca0fa064166,3
3,f190f4ab82fd,3
3,7a26d7e18b89,3
3,eac540cba307,3
3,db4135d30eec,3
3,4b2cb2577a69,3
3,d9276d559999,3
3,bb5154fad02f,3
3,a7f92f18470f,3
3,3f3ad4376dd0,3
3,1937342e6d3a,3
3,d916f3c4756e,3
3,e6a8630feb76,3
3,372c786cc900,3
3,4cf5c0621088,4
3,cf833bbbc2d2,4
3,e5f8bb3aa14e,4
3,6442e19a4f03,4
3,de330aa7d1a2,4
3,0f308677eb60,4
