group_key,source_id,path,sha256,subjenis,group_size,min_residual_rgb,max_align_score,reason,status,decision_date,approval_record,evidence_file
grp_ec9825accca7,ec9825accca7,dataset_batik/batik/Solo_Parang/0017.jpg,54672014c50ab112903bae38b55103f167340111d280ee8d83aad21a32c6531d,Solo_Parang,2,13.288,0.969,same_photograph_translational_overlap,approved_group,2026-08-19,Bilal menyetujui pemisahan group-aware pada sesi 19 Agustus 2026,hasil_paper/24_source_groups/confirmed_pairs.csv
grp_ec9825accca7,fc1e0904dd28,dataset_batik/batik/Solo_Parang/0021.jpg,16c92df22481cca581878be122c0714de2a29c6a496def77503b4c6de9d912b5,Solo_Parang,2,13.288,0.969,same_photograph_translational_overlap,approved_group,2026-08-19,Bilal menyetujui pemisahan group-aware pada sesi 19 Agustus 2026,hasil_paper/24_source_groups/confirmed_pairs.csv
grp_204cc85f05f5,204cc85f05f5,dataset_batik/batik/Solo_Parang/0034.jpg,234bf3bfac63124758f3f5c604fb0855822e52f75de1d7cb76d4c2a43533d2de,Solo_Parang,2,7.453,0.9869,same_photograph_translational_overlap,approved_group,2026-08-19,Bilal menyetujui pemisahan group-aware pada sesi 19 Agustus 2026,hasil_paper/24_source_groups/confirmed_pairs.csv
grp_204cc85f05f5,9fb8bf36fd8b,dataset_batik/batik/Solo_Parang/0028.jpg,3360828801f4f33261ec0fc4500086dcb3ad1e3cc90a945aa710ff8ad251e5ff,Solo_Parang,2,7.453,0.9869,same_photograph_translational_overlap,approved_group,2026-08-19,Bilal menyetujui pemisahan group-aware pada sesi 19 Agustus 2026,hasil_paper/24_source_groups/confirmed_pairs.csv
grp_3db0cabb6a47,3db0cabb6a47,dataset_batik/batik/Solo_Parang/0032.jpg,3920f2398cd72a046c597dfd2f95bcbb60959901b228dd8307635adf31888dd2,Solo_Parang,2,5.947,0.9742,same_photograph_translational_overlap,approved_group,2026-08-19,Bilal menyetujui pemisahan group-aware pada sesi 19 Agustus 2026,hasil_paper/24_source_groups/confirmed_pairs.csv
grp_3db0cabb6a47,8eabcd2abffa,dataset_batik/batik/Solo_Parang/0040.jpg,6e7ad786a437056b6639de8247be1076525c08ae6af240af675fcaff9c25b058,Solo_Parang,2,5.947,0.9742,same_photograph_translational_overlap,approved_group,2026-08-19,Bilal menyetujui pemisahan group-aware pada sesi 19 Agustus 2026,hasil_paper/24_source_groups/confirmed_pairs.csv
grp_4685b3b6f662,4685b3b6f662,dataset_batik/batik/Yogyakarta_Kawung/0010.jpg,9ca2aa83fcbc31ef62389d0007962ceeff11e88fc9b01096423db64efa5f73a0,Yogyakarta_Kawung,2,6.241,0.9958,same_photograph_translational_overlap,approved_group,2026-08-19,Bilal menyetujui pemisahan group-aware pada sesi 19 Agustus 2026,hasil_paper/24_source_groups/confirmed_pairs.csv
grp_4685b3b6f662,821b217c3490,dataset_batik/batik/Yogyakarta_Kawung/0030.jpg,20535297cfa22e9c84e94243cbdaecdbf6c61d7c1fb446a929b27be15fb14935,Yogyakarta_Kawung,2,6.241,0.9958,same_photograph_translational_overlap,approved_group,2026-08-19,Bilal menyetujui pemisahan group-aware pada sesi 19 Agustus 2026,hasil_paper/24_source_groups/confirmed_pairs.csv
grp_a3833f8e9773,a3833f8e9773,dataset_batik/batik/Yogyakarta_Parang/0017.jpg,114a88efc1fd0006ca0b9f09f87efa6f7c33ecfec8c97337867328a2526aac4a,Yogyakarta_Parang,3,4.72,0.9982,same_photograph_translational_overlap,approved_group,2026-08-19,Bilal menyetujui pemisahan group-aware pada sesi 19 Agustus 2026,hasil_paper/24_source_groups/confirmed_pairs.csv
grp_a3833f8e9773,aa85c99944f2,dataset_batik/batik/Yogyakarta_Parang/009.jpg,43b1a27aefe8d83210c971f53fddeef8d2523f946a9a558196ffbf76173dfcef,Yogyakarta_Parang,3,14.45,0.9697,same_photograph_translational_overlap,approved_group,2026-08-19,Bilal menyetujui pemisahan group-aware pada sesi 19 Agustus 2026,hasil_paper/24_source_groups/confirmed_pairs.csv
grp_a3833f8e9773,cd0513428af6,dataset_batik/batik/Yogyakarta_Parang/0012.jpg,14a7b6e2094c5c9b1f5c1ea51090bc9d738d1678ee96f0663d6750bbad196442,Yogyakarta_Parang,3,4.72,0.9982,same_photograph_translational_overlap,approved_group,2026-08-19,Bilal menyetujui pemisahan group-aware pada sesi 19 Agustus 2026,hasil_paper/24_source_groups/confirmed_pairs.csv
grp_1e1c6c73c84d,1e1c6c73c84d,dataset_batik/batik/batik semarangan/semarangan3.jpg,d33812669d5ce9a409a705147d510f41ef622f0d727a7e3ba6e6b1ca881bfbca,batik semarangan,2,5.566,0.9929,same_photograph_translational_overlap,approved_group,2026-08-19,Bilal menyetujui pemisahan group-aware pada sesi 19 Agustus 2026,hasil_paper/24_source_groups/confirmed_pairs.csv
grp_1e1c6c73c84d,9ca0fa064166,dataset_batik/batik/batik semarangan/semarangan5.jpg,67e5cef3e54a9ae11418545d1c98e6e37e819d53ef7fd7fa2e840e45fc2e6133,batik semarangan,2,5.566,0.9929,same_photograph_translational_overlap,approved_group,2026-08-19,Bilal menyetujui pemisahan group-aware pada sesi 19 Agustus 2026,hasil_paper/24_source_groups/confirmed_pairs.csv
