source_id,path,kelas,label,subjenis,set,group_id,group_size
aefd54b84960,dataset_batik/batik/Batik Sekar Jagad/0.jpg,batik,1,Batik Sekar Jagad,development,1,1
4cf5c0621088,dataset_batik/batik/Batik Sekar Jagad/1.jpg,batik,1,Batik Sekar Jagad,development,2,1
cf833bbbc2d2,dataset_batik/batik/Batik Sekar Jagad/37.jpg,batik,1,Batik Sekar Jagad,development,3,1
4887f2b0b9db,dataset_batik/batik/Batik Sekar Jagad/38.jpg,batik,1,Batik Sekar Jagad,development,4,1
e5f8bb3aa14e,dataset_batik/batik/Batik Sekar Jagad/54.jpg,batik,1,Batik Sekar Jagad,development,5,1
54bfb8bd54ab,dataset_batik/batik/Solo_Parang/001.jpg,batik,1,Solo_Parang,development,6,1
6442e19a4f03,dataset_batik/batik/Solo_Parang/0010.jpg,batik,1,Solo_Parang,development,7,1
32d738243497,dataset_batik/batik/Solo_Parang/0011.jpg,batik,1,Solo_Parang,development,8,1
de330aa7d1a2,dataset_batik/batik/Solo_Parang/0012.jpg,batik,1,Solo_Parang,development,9,1
0f308677eb60,dataset_batik/batik/Solo_Parang/0013.jpg,batik,1,Solo_Parang,development,10,1
fa24684732b1,dataset_batik/batik/Solo_Parang/0014.jpg,batik,1,Solo_Parang,development,11,1
ae689bfb028c,dataset_batik/batik/Solo_Parang/0016.jpg,batik,1,Solo_Parang,development,12,1
ec9825accca7,dataset_batik/batik/Solo_Parang/0017.jpg,batik,1,Solo_Parang,development,14,2
6ee03ea4ad8e,dataset_batik/batik/Solo_Parang/0020.jpg,batik,1,Solo_Parang,development,13,1
fc1e0904dd28,dataset_batik/batik/Solo_Parang/0021.jpg,batik,1,Solo_Parang,development,14,2
cc4ed19c721d,dataset_batik/batik/Solo_Parang/0022.jpg,batik,1,Solo_Parang,development,15,1
9650ae0e9e81,dataset_batik/batik/Solo_Parang/0024.jpg,batik,1,Solo_Parang,development,16,1
418868e904b3,dataset_batik/batik/Solo_Parang/0025.jpg,batik,1,Solo_Parang,development,17,1
232973849352,dataset_batik/batik/Solo_Parang/0027.jpg,batik,1,Solo_Parang,development,18,1
